powerplanteic,time,power,*
48WSTN00000PEHEU,8,0.0,*
48WSTN00000PEHEU,9,0.0,*
48WSTN00000PEHEU,10,0.0,*
48WSTN00000PEHEU,11,0.0,*
48WSTN00000PEHEU,12,0.0,*
48WSTN00000PEHEU,13,0.0,*
48WSTN00000PEHEU,14,0.0,*
48WSTN00000PEHEU,15,0.0,*
48WSTN00000PEHEU,16,0.0,*
48WSTN00000PEHEU,17,0.0,*
48WSTN00000PEHEU,18,0.0,*
48WSTN00000PEHEU,19,0.0,*
48WSTN00000PEHEU,20,0.0,*
48WSTN00000PEHEU,21,0.0,*
48WSTN00000PEHEU,22,0.0,*
48WSTN00000PEHEU,23,0.0,*
48WSTN00000PEHEU,24,0.0,*
48WSTN00000PEHEU,25,0.0,*
48WSTN00000PEHEU,26,0.0,*
48WSTN00000PEHEU,27,0.0,*
48WSTN00000PEHEU,28,11.758,*
48WSTN00000PEHEU,29,36.5,*
48WSTN00000PEHEU,30,76.46,*
48WSTN00000PEHEU,31,94.68,*
48WSTN00000PEHEU,32,95.78,*
48WSTN00000PEHEU,33,96.34,*
48WSTN00000PEHEU,34,96.3,*
48WSTN00000PEHEU,35,96.4,*
48WSTN00000PEHEU,36,114.448,*
48WSTN00000PEHEU,37,124.418,*
48WSTN00000PEHEU,38,182.312,*
48WSTN00000PEHEU,39,185.91,*
48WSTN00000PEHEU,40,186.728,*
48WSTN00000PEHEU,41,213.31,*
48WSTN00000PEHEU,42,348.016,*
48WSTN00000PEHEU,43,351.788,*
48WSTN00000PEHEU,44,353.51,*
48WSTN00000PEHEU,45,272.802,*
48WSTN00000PEHEU,46,239.484,*
48WSTN00000PEHEU,47,237.42,*
48WSTN00000PEHEU,48,217.626,*
48WSTN00000STAYA,1,615.1,*
48WSTN00000STAYA,2,615.5,*
48WSTN00000STAYA,3,357.3,*
48WSTN00000STAYA,4,200.8,*
48WSTN00000STAYA,5,204.7,*
48WSTN00000STAYA,6,201.2,*
48WSTN00000STAYA,7,197.0,*
48WSTN00000STAYA,8,198.2,*
48WSTN00000STAYA,9,249.5,*
48WSTN00000STAYA,10,196.9,*
48WSTN00000STAYA,11,220.9,*
48WSTN00000STAYA,12,197.2,*
48WSTN00000STAYA,13,197.0,*
48WSTN00000STAYA,14,197.2,*
48WSTN00000STAYA,15,197.0,*
48WSTN00000STAYA,16,197.2,*
48WSTN00000STAYA,17,375.8,*
48WSTN00000STAYA,18,555.4,*
48WSTN00000STAYA,19,1075.6,*
48WSTN00000STAYA,20,1271.8,*
48WSTN00000STAYA,21,1285.1,*
48WSTN00000STAYA,22,1300.5,*
48WSTN00000STAYA,23,1300.9,*
48WSTN00000STAYA,24,1301.5,*
48WSTN00000STAYA,25,1300.7,*
48WSTN00000STAYA,26,1298.8,*
48WSTN00000STAYA,27,1222.6,*
48WSTN00000STAYA,28,1296.1,*
48WSTN00000STAYA,29,1301.8000000000002,*
48WSTN00000STAYA,30,1303.0,*
48WSTN00000STAYA,31,1302.9,*
48WSTN00000STAYA,32,1305.0,*
48WSTN00000STAYA,33,1305.8,*
48WSTN00000STAYA,34,1306.5,*
48WSTN00000STAYA,35,1305.6999999999998,*
48WSTN00000STAYA,36,1307.3,*
48WSTN00000STAYA,37,1307.3000000000002,*
48WSTN00000STAYA,38,1308.0,*
48WSTN00000STAYA,39,1295.5,*
48WSTN00000STAYA,40,1310.6,*
48WSTN00000STAYA,41,1310.1,*
48WSTN00000STAYA,42,1310.9,*
48WSTN00000STAYA,43,787.3000000000001,*
48WSTN00000STAYA,44,437.8,*
48WSTN00000STAYA,45,183.2,*
48WSTN00000STAYA,46,0.0,*
48WSTN00000STAYA,47,0.0,*
48WSTN00000STAYA,48,0.0,*
48WSTN0000CNQPSG,1,0.0,*
48WSTN0000CNQPSG,2,0.0,*
48WSTN0000CNQPSG,3,0.0,*
48WSTN0000CNQPSG,4,0.0,*
48WSTN0000CNQPSG,5,0.0,*
48WSTN0000CNQPSG,6,0.0,*
48WSTN0000CNQPSG,7,0.0,*
48WSTN0000CNQPSG,8,0.0,*
48WSTN0000CNQPSG,9,0.0,*
48WSTN0000CNQPSG,10,0.0,*
48WSTN0000CNQPSG,11,0.0,*
48WSTN0000CNQPSG,12,0.0,*
48WSTN0000CNQPSG,13,0.0,*
48WSTN0000CNQPSG,14,0.0,*
48WSTN0000CNQPSG,15,0.0,*
48WSTN0000CNQPSG,16,145.53,*
48WSTN0000CNQPSG,17,168.462,*
48WSTN0000CNQPSG,18,228.69,*
48WSTN0000CNQPSG,19,228.69,*
48WSTN0000CNQPSG,20,225.288,*
48WSTN0000CNQPSG,21,246.078,*
48WSTN0000CNQPSG,22,333.27,*
48WSTN0000CNQPSG,23,261.828,*
48WSTN0000CNQPSG,24,422.352,*
48WSTN0000CNQPSG,25,568.512,*
48WSTN0000CNQPSG,26,671.328,*
48WSTN0000CNQPSG,27,576.702,*
48WSTN0000CNQPSG,28,490.518,*
48WSTN0000CNQPSG,29,516.6,*
48WSTN0000CNQPSG,30,479.304,*
48WSTN0000CNQPSG,31,461.286,*
48WSTN0000CNQPSG,32,586.278,*
48WSTN0000CNQPSG,33,764.0640000000001,*
48WSTN0000CNQPSG,34,832.23,*
48WSTN0000CNQPSG,35,792.54,*
48WSTN0000CNQPSG,36,737.1,*
48WSTN0000CNQPSG,37,734.832,*
48WSTN0000CNQPSG,38,857.808,*
48WSTN0000CNQPSG,39,890.442,*
48WSTN0000CNQPSG,40,904.932,*
48WSTN0000CNQPSG,41,826.686,*
48WSTN0000CNQPSG,42,641.088,*
48WSTN0000CNQPSG,43,469.476,*
48WSTN0000CNQPSG,44,528.444,*
48WSTN0000CNQPSG,45,567.3779999999999,*
48WSTN0000CNQPSG,46,469.2240000000001,*
48WSTN0000CNQPSG,47,479.43,*
48WSTN0000CNQPSG,48,457.254,*
48WSTN0000DIDCBC,1,442.0,*
48WSTN0000DIDCBC,2,442.4,*
48WSTN0000DIDCBC,3,442.6,*
48WSTN0000DIDCBC,4,442.4,*
48WSTN0000DIDCBC,5,442.4,*
48WSTN0000DIDCBC,6,442.6,*
48WSTN0000DIDCBC,7,442.4,*
48WSTN0000DIDCBC,8,442.0,*
48WSTN0000DIDCBC,9,464.4,*
48WSTN0000DIDCBC,10,442.4,*
48WSTN0000DIDCBC,11,442.4,*
48WSTN0000DIDCBC,12,442.4,*
48WSTN0000DIDCBC,13,533.2,*
48WSTN0000DIDCBC,14,682.8,*
48WSTN0000DIDCBC,15,770.4,*
48WSTN0000DIDCBC,16,924.0,*
48WSTN0000DIDCBC,17,1187.8000000000002,*
48WSTN0000DIDCBC,18,1404.0,*
48WSTN0000DIDCBC,19,1398.6,*
48WSTN0000DIDCBC,20,1391.4,*
48WSTN0000DIDCBC,21,1396.6,*
48WSTN0000DIDCBC,22,1404.8,*
48WSTN0000DIDCBC,23,1392.8000000000002,*
48WSTN0000DIDCBC,24,1403.8,*
48WSTN0000DIDCBC,25,1392.1999999999998,*
48WSTN0000DIDCBC,26,1396.6,*
48WSTN0000DIDCBC,27,1394.0,*
48WSTN0000DIDCBC,28,1393.4,*
48WSTN0000DIDCBC,29,1392.8000000000002,*
48WSTN0000DIDCBC,30,1393.6,*
48WSTN0000DIDCBC,31,1393.4,*
48WSTN0000DIDCBC,32,1393.6,*
48WSTN0000DIDCBC,33,1394.8,*
48WSTN0000DIDCBC,34,1395.8,*
48WSTN0000DIDCBC,35,1397.2,*
48WSTN0000DIDCBC,36,1397.8,*
48WSTN0000DIDCBC,37,1397.4,*
48WSTN0000DIDCBC,38,1399.8000000000002,*
48WSTN0000DIDCBC,39,1399.8,*
48WSTN0000DIDCBC,40,1400.8000000000002,*
48WSTN0000DIDCBC,41,1401.0,*
48WSTN0000DIDCBC,42,1402.6,*
48WSTN0000DIDCBC,43,1404.2,*
48WSTN0000DIDCBC,44,1404.6,*
48WSTN0000DIDCBC,45,1405.0,*
48WSTN0000DIDCBC,46,1402.8,*
48WSTN0000DIDCBC,47,1405.8,*
48WSTN0000DIDCBC,48,1348.4,*
48WSTN0000WBURB5,1,350.44,*
48WSTN0000WBURB5,2,341.7,*
48WSTN0000WBURB5,3,212.31,*
48WSTN0000WBURB5,4,0.0,*
48WSTN0000WBURB5,5,0.786,*
48WSTN0000WBURB5,6,0.0,*
48WSTN0000WBURB5,7,0.0,*
48WSTN0000WBURB5,8,0.0,*
48WSTN0000WBURB5,9,2.19,*
48WSTN0000WBURB5,10,2.716,*
48WSTN0000WBURB5,11,63.232,*
48WSTN0000WBURB5,12,211.442,*
48WSTN0000WBURB5,13,433.98,*
48WSTN0000WBURB5,14,343.26200000000006,*
48WSTN0000WBURB5,15,546.2819999999999,*
48WSTN0000WBURB5,16,862.28,*
48WSTN0000WBURB5,17,958.526,*
48WSTN0000WBURB5,18,1042.88,*
48WSTN0000WBURB5,19,1181.12,*
48WSTN0000WBURB5,20,1204.04,*
48WSTN0000WBURB5,21,1206.214,*
48WSTN0000WBURB5,22,1211.54,*
48WSTN0000WBURB5,23,1201.91,*
48WSTN0000WBURB5,24,1090.92,*
48WSTN0000WBURB5,25,1194.002,*
48WSTN0000WBURB5,26,1241.244,*
48WSTN0000WBURB5,27,1269.476,*
48WSTN0000WBURB5,28,1280.004,*
48WSTN0000WBURB5,29,1136.64,*
48WSTN0000WBURB5,30,1250.9999999999998,*
48WSTN0000WBURB5,31,1276.322,*
48WSTN0000WBURB5,32,1286.58,*
48WSTN0000WBURB5,33,1277.87,*
48WSTN0000WBURB5,34,1239.612,*
48WSTN0000WBURB5,35,1211.198,*
48WSTN0000WBURB5,36,1264.66,*
48WSTN0000WBURB5,37,1284.404,*
48WSTN0000WBURB5,38,1132.022,*
48WSTN0000WBURB5,39,815.9279999999999,*
48WSTN0000WBURB5,40,401.02,*
48WSTN0000WBURB5,41,483.602,*
48WSTN0000WBURB5,42,527.428,*
48WSTN0000WBURB5,43,822.74,*
48WSTN0000WBURB5,44,854.12,*
48WSTN0000WBURB5,45,851.122,*
48WSTN0000WBURB5,46,844.556,*
48WSTN0000WBURB5,47,834.862,*
48WSTN0000WBURB5,48,614.312,*
48WSTN00000SEAB5,1,0.0,*
48WSTN00000SEAB5,2,0.0,*
48WSTN00000SEAB5,3,0.0,*
48WSTN00000SEAB5,4,0.0,*
48WSTN00000SEAB5,5,0.0,*
48WSTN00000SEAB5,6,0.0,*
48WSTN00000SEAB5,7,0.0,*
48WSTN00000SEAB5,8,0.0,*
48WSTN00000SEAB5,9,0.0,*
48WSTN00000SEAB5,10,0.0,*
48WSTN00000SEAB5,11,0.0,*
48WSTN00000SEAB5,12,0.0,*
48WSTN00000SEAB5,13,0.0,*
48WSTN00000SEAB5,14,1.458,*
48WSTN00000SEAB5,15,230.6,*
48WSTN00000SEAB5,16,421.6,*
48WSTN00000SEAB5,17,474.8,*
48WSTN00000SEAB5,18,481.4,*
48WSTN00000SEAB5,19,720.6,*
48WSTN00000SEAB5,20,770.2,*
48WSTN00000SEAB5,21,768.2,*
48WSTN00000SEAB5,22,819.514,*
48WSTN00000SEAB5,23,676.6,*
48WSTN00000SEAB5,24,980.94,*
48WSTN00000SEAB5,25,1007.44,*
48WSTN00000SEAB5,26,995.5,*
48WSTN00000SEAB5,27,986.02,*
48WSTN00000SEAB5,28,891.5799999999999,*
48WSTN00000SEAB5,29,846.4,*
48WSTN00000SEAB5,30,981.1,*
48WSTN00000SEAB5,31,944.34,*
48WSTN00000SEAB5,32,1056.46,*
48WSTN00000SEAB5,33,1066.72,*
48WSTN00000SEAB5,34,1051.42,*
48WSTN00000SEAB5,35,1032.66,*
48WSTN00000SEAB5,36,1053.04,*
48WSTN00000SEAB5,37,1121.94,*
48WSTN00000SEAB5,38,1017.66,*
48WSTN00000SEAB5,39,825.54,*
48WSTN00000SEAB5,40,820.06,*
48WSTN00000SEAB5,41,1033.16,*
48WSTN00000SEAB5,42,1072.9,*
48WSTN00000SEAB5,43,576.8779999999999,*
48WSTN00000SEAB5,44,0.0,*
48WSTN00000SEAB5,45,0.0,*
48WSTN00000SEAB5,46,0.0,*
48WSTN00000SEAB5,47,0.0,*
48WSTN00000SEAB5,48,0.0,*
48WSTN00000HUMR2,1,300.204,*
48WSTN00000HUMR2,2,313.534,*
48WSTN00000HUMR2,3,314.982,*
48WSTN00000HUMR2,4,300.466,*
48WSTN00000HUMR2,5,300.036,*
48WSTN00000HUMR2,6,300.11,*
48WSTN00000HUMR2,7,300.17,*
48WSTN00000HUMR2,8,300.132,*
48WSTN00000HUMR2,9,300.062,*
48WSTN00000HUMR2,10,300.138,*
48WSTN00000HUMR2,11,300.24,*
48WSTN00000HUMR2,12,300.188,*
48WSTN00000HUMR2,13,314.822,*
48WSTN00000HUMR2,14,315.06,*
48WSTN00000HUMR2,15,315.002,*
48WSTN00000HUMR2,16,314.862,*
48WSTN00000HUMR2,17,314.94,*
48WSTN00000HUMR2,18,315.05,*
48WSTN00000HUMR2,19,314.71,*
48WSTN00000HUMR2,20,314.992,*
48WSTN00000HUMR2,21,314.92,*
48WSTN00000HUMR2,22,315.052,*
48WSTN00000HUMR2,23,307.428,*
48WSTN00000HUMR2,24,307.264,*
48WSTN00000HUMR2,25,307.43,*
48WSTN00000HUMR2,26,307.31,*
48WSTN00000HUMR2,27,307.24,*
48WSTN00000HUMR2,28,307.294,*
48WSTN00000HUMR2,29,307.32,*
48WSTN00000HUMR2,30,307.338,*
48WSTN00000HUMR2,31,307.308,*
48WSTN00000HUMR2,32,307.36,*
48WSTN00000HUMR2,33,310.15,*
48WSTN00000HUMR2,34,310.098,*
48WSTN00000HUMR2,35,309.966,*
48WSTN00000HUMR2,36,310.23,*
48WSTN00000HUMR2,37,312.04,*
48WSTN00000HUMR2,38,312.144,*
48WSTN00000HUMR2,39,320.79,*
48WSTN00000HUMR2,40,342.508,*
48WSTN00000HUMR2,41,356.1,*
48WSTN00000HUMR2,42,376.8,*
48WSTN00000HUMR2,43,466.014,*
48WSTN00000HUMR2,44,679.96,*
48WSTN00000HUMR2,45,518.64,*
48WSTN00000HUMR2,46,430.14,*
48WSTN00000HUMR2,47,471.14,*
48WSTN00000HUMR2,48,431.28,*
48WSTN0000HOWAOA,1,394.746,*
48WSTN0000HOWAOA,2,440.024,*
48WSTN0000HOWAOA,3,480.562,*
48WSTN0000HOWAOA,4,498.632,*
48WSTN0000HOWAOA,5,555.78,*
48WSTN0000HOWAOA,6,606.946,*
48WSTN0000HOWAOA,7,572.038,*
48WSTN0000HOWAOA,8,501.816,*
48WSTN0000HOWAOA,9,480.218,*
48WSTN0000HOWAOA,10,494.632,*
48WSTN0000HOWAOA,11,493.968,*
48WSTN0000HOWAOA,12,522.3299999999999,*
48WSTN0000HOWAOA,13,541.882,*
48WSTN0000HOWAOA,14,559.196,*
48WSTN0000HOWAOA,15,569.576,*
48WSTN0000HOWAOA,16,584.836,*
48WSTN0000HOWAOA,17,586.192,*
48WSTN0000HOWAOA,18,627.428,*
48WSTN0000HOWAOA,19,624.846,*
48WSTN0000HOWAOA,20,570.296,*
48WSTN0000HOWAOA,21,511.98,*
48WSTN0000HOWAOA,22,456.884,*
48WSTN0000HOWAOA,23,443.788,*
48WSTN0000HOWAOA,24,401.184,*
48WSTN0000HOWAOA,25,360.644,*
48WSTN0000HOWAOA,26,325.182,*
48WSTN0000HOWAOA,27,260.418,*
48WSTN0000HOWAOA,28,202.926,*
48WSTN0000HOWAOA,29,158.84199999999998,*
48WSTN0000HOWAOA,30,125.768,*
48WSTN0000HOWAOA,31,120.17,*
48WSTN0000HOWAOA,32,128.166,*
48WSTN0000HOWAOA,33,133.562,*
48WSTN0000HOWAOA,34,124.742,*
48WSTN0000HOWAOA,35,107.116,*
48WSTN0000HOWAOA,36,88.20599999999999,*
48WSTN0000HOWAOA,37,82.93599999999999,*
48WSTN0000HOWAOA,38,93.124,*
48WSTN0000HOWAOA,39,95.562,*
48WSTN0000HOWAOA,40,88.916,*
48WSTN0000HOWAOA,41,85.36,*
48WSTN0000HOWAOA,42,78.99600000000001,*
48WSTN0000HOWAOA,43,95.598,*
48WSTN0000HOWAOA,44,93.422,*
48WSTN0000HOWAOA,45,78.74199999999999,*
48WSTN0000HOWAOA,46,71.878,*
48WSTN0000HOWAOA,47,75.048,*
48WSTN0000HOWAOA,48,85.56800000000001,*
48WSTN00000SCCLO,1,330.7,*
48WSTN00000SCCLO,2,341.5,*
48WSTN00000SCCLO,3,340.3,*
48WSTN00000SCCLO,4,298.2,*
48WSTN00000SCCLO,5,299.8,*
48WSTN00000SCCLO,6,300.1,*
48WSTN00000SCCLO,7,321.2,*
48WSTN00000SCCLO,8,300.7,*
48WSTN00000SCCLO,9,300.6,*
48WSTN00000SCCLO,10,300.6,*
48WSTN00000SCCLO,11,300.5,*
48WSTN00000SCCLO,12,300.6,*
48WSTN00000SCCLO,13,300.6,*
48WSTN00000SCCLO,14,300.6,*
48WSTN00000SCCLO,15,300.6,*
48WSTN00000SCCLO,16,300.6,*
48WSTN00000SCCLO,17,300.6,*
