generatoreic,time,power,*
48W000000MRWD-1P,21,868.0,*
48W000000MRWD-1P,22,686.0,*
48W000000MRWD-1P,23,583.8,*
48W000000MRWD-1P,24,863.2,*
48W000000MRWD-1P,25,865.0,*
48W000000MRWD-1P,26,866.2,*
48W000000MRWD-1P,27,840.8,*
48W000000MRWD-1P,28,699.4,*
48W000000MRWD-1P,29,468.2,*
48W000000MRWD-1P,30,648.6,*
48W000000MRWD-1P,31,862.8,*
48W000000MRWD-1P,32,864.6,*
48W000000MRWD-1P,33,867.2,*
48W000000MRWD-1P,34,867.6,*
48W000000MRWD-1P,35,868.8,*
48W000000MRWD-1P,36,868.8,*
48W000000MRWD-1P,37,869.6,*
48W000000MRWD-1P,38,869.4,*
48W000000MRWD-1P,39,869.6,*
48W000000MRWD-1P,40,869.6,*
48W000000MRWD-1P,41,870.4,*
48W000000MRWD-1P,42,869.2,*
48W000000MRWD-1P,43,868.8,*
48W000000MRWD-1P,44,870.6,*
48W000000MRWD-1P,45,625.4,*
48W000000MRWD-1P,46,147.8,*
48W000000MRWD-1P,47,0.0,*
48W000000MRWD-1P,48,0.0,*
48W000000SPLN-1A,1,0.0,*
48W000000SPLN-1A,2,0.0,*
48W000000SPLN-1A,3,0.0,*
48W000000SPLN-1A,4,0.0,*
48W000000SPLN-1A,5,0.0,*
48W000000SPLN-1A,6,0.0,*
48W000000SPLN-1A,7,0.0,*
48W000000SPLN-1A,8,0.0,*
48W000000SPLN-1A,9,0.0,*
48W000000SPLN-1A,10,0.0,*
48W000000SPLN-1A,11,0.0,*
48W000000SPLN-1A,12,13.8,*
48W000000SPLN-1A,13,165.7,*
48W000000SPLN-1A,14,529.5,*
48W000000SPLN-1A,15,786.6,*
48W000000SPLN-1A,16,800.1,*
48W000000SPLN-1A,17,799.8,*
48W000000SPLN-1A,18,799.8,*
48W000000SPLN-1A,19,799.7,*
48W000000SPLN-1A,20,799.8,*
48W000000SPLN-1A,21,799.7,*
48W000000SPLN-1A,22,799.7,*
48W000000SPLN-1A,23,799.8,*
48W000000SPLN-1A,24,799.9,*
48W000000SPLN-1A,25,800.2,*
48W000000SPLN-1A,26,829.3,*
48W000000SPLN-1A,27,829.7,*
48W000000SPLN-1A,28,829.7,*
48W000000SPLN-1A,29,831.6,*
48W000000SPLN-1A,30,834.5,*
48W000000SPLN-1A,31,834.6,*
48W000000SPLN-1A,32,838.0,*
48W000000SPLN-1A,33,839.5,*
48W000000SPLN-1A,34,839.6,*
48W000000SPLN-1A,35,839.5,*
48W000000SPLN-1A,36,839.5,*
48W000000SPLN-1A,37,842.4,*
48W000000SPLN-1A,38,844.2,*
48W000000SPLN-1A,39,843.9,*
48W000000SPLN-1A,40,847.1,*
48W000000SPLN-1A,41,841.4,*
48W000000SPLN-1A,42,820.6,*
48W000000SPLN-1A,43,819.6,*
48W000000SPLN-1A,44,737.9,*
48W000000SPLN-1A,45,811.4,*
48W000000SPLN-1A,46,819.5,*
48W000000SPLN-1A,47,813.2,*
48W000000SPLN-1A,48,619.1,*
48W000000SEAB-1V,1,0.0,*
48W000000SEAB-1V,2,0.0,*
48W000000SEAB-1V,3,0.0,*
48W000000SEAB-1V,4,0.0,*
48W000000SEAB-1V,5,0.0,*
48W000000SEAB-1V,6,0.0,*
48W000000SEAB-1V,7,0.0,*
48W000000SEAB-1V,8,0.0,*
48W000000SEAB-1V,9,0.0,*
