13STo   13STm   20VEo   20VEm   61WBo   61WBm   64KSo   64KSm   21BIo   21BIm   24FLo   24FLm   54BLo   54BLm   72FIo   72FIm   27TAo   27TAm   51BFo   51BFm   52NGo   52NGm   74BTo   74BTm   73FWo   73FWm
  43.200   57.382   60.700   67.022   26.100   48.830   58.100   87.424   36.200   61.592   40.900   30.168   41.100    3.848   41.400    8.796   10.400   24.141   20.700   29.994   33.000   10.903   39.800   68.712   39.600   11.692
  46.500   31.820   60.600   56.872   25.500   33.857   56.100   87.730   36.700   52.294   36.400   11.345   36.500    2.550   33.000    7.130   12.800   24.000   18.100   16.080   22.400    4.683   36.200   68.029   25.100    4.162
  37.000   14.070   45.400   31.061   20.700   18.353   53.900   60.924   29.200   30.774   42.200    4.310   24.800    1.474   25.500    3.977    9.500    9.828   15.400    6.658   15.800    1.377   48.000   43.592   20.600    1.048
  24.700    9.289   25.200   21.452   19.300   12.313   40.300   47.034   17.400   23.034   31.900    2.888   17.400    1.217   16.700    2.809   10.600    4.650   12.000    4.322    8.600    1.012  -99.000   27.700   13.800    0.599
  22.000    8.785   22.900   26.518   12.700   13.574   39.800   45.554   14.100   21.091   27.200    3.525   14.100    1.172   10.100    3.317    6.700    3.961    8.700    4.823    2.000    0.776   22.800   28.457    8.700    0.264
  20.000    8.564   20.600   19.899    7.200   13.671   55.900   45.294   11.600   22.271   15.900    2.982    4.700    0.785    5.100    3.951    2.000    3.027    6.600    4.113    2.000    0.514   21.600   29.658    5.200    0.112
  21.700    8.367   18.700   27.662    9.100   14.185   59.800   46.668   14.800   23.563   13.600    3.851    2.000    0.916    6.300    4.572    2.000    3.524    5.300    4.755    4.200    0.573   23.600   31.793    7.000    0.142
  20.800    8.425   28.300   28.238   12.000   13.810   61.300   49.320   12.300   21.529   23.900    3.132    6.800    0.889    9.100    4.402    2.000    3.807    6.300    4.018    8.200    0.566   24.300   30.414   12.000    0.125
  33.600    8.171   73.400   34.583   24.300   14.220   78.100   52.528   25.700   22.389   26.800    2.894    8.000    0.887   15.700    4.164    8.500    4.340   11.600    4.420    6.900    0.570   43.200   32.463   12.200    0.095
  31.400    9.341   52.900   41.103   27.200   14.249   59.400   59.557   38.400   26.936   32.300    3.193   12.700    1.257   18.800    4.510   12.800    1.979   18.000    6.180    5.900    1.018   56.400   39.198   12.100    0.905
