site,n,FAC2,MB,MGE,NMB,NMGE,RMSE,r,COE,IOA
13ST,732,0.715846994535519,-0.0780601092896175,9.62699453551913,-0.00391995444785171,0.4834400104276,13.5610101861093,0.561088377373248,0.0590258549528238,0.529512927476412
17SM,739,0.786197564276049,-10.9852774018945,21.2572936400541,-0.183389884112318,0.354872478369892,31.0960279847379,0.46122792931593,0.05127024176829,0.525635120884145
20VE,714,0.649859943977591,10.9411764705882,19.8333613445378,0.364770594223065,0.661229349744586,26.9180427447852,0.369094710543065,-0.589717097076597,0.205141451461702
21BI,740,0.640540540540541,10.843527027027,13.3165810810811,0.551841026628521,0.677697925836268,17.1983607444808,0.501724181235786,-0.386839953199932,0.306580023400034
24FL,711,0.523206751054852,-5.76943741209564,9.2221800281294,-0.342041541245237,0.546737653111424,12.4468955172315,0.436693119554569,-0.0521934414889977,0.473903279255501
27TA,742,0.536388140161725,-4.71478436657682,8.96623989218329,-0.315245149721103,0.599510691789895,13.1807886059573,0.384724447172184,-0.015961341148546,0.492019329425727
51BF,741,0.539811066126856,-3.17168690958165,5.31398110661269,-0.350491387666841,0.587228394601447,7.6164709472044,0.477621039835217,0.0300247376753926,0.515012368837696
52NG,738,0.407859078590786,-0.119891598915989,7.28875338753388,-0.0132520556562374,0.805652492998038,11.0892745736187,0.426083662993531,-0.24720001920231,0.376399990398845
54BL,712,0.410112359550562,-4.71509831460674,7.55818820224719,-0.415756427403775,0.666447466191113,12.5696403068592,0.535071370507612,0.131805729299127,0.565902864649563
61WB,720,0.655555555555556,2.48031944444444,12.7769305555556,0.10756392109622,0.554096672187923,17.4222974749473,0.40724589593584,-0.0575948054345199,0.47120259728274
64KS,744,0.681451612903226,11.2153897849462,20.9150134408602,0.31784107660487,0.592725756011717,26.0296583814884,0.347335334624919,-0.509012718721682,0.245493640639159
68HB,678,0.728613569321534,11.7830235988201,28.5130825958702,0.203078115864664,0.491417422913648,36.342853381207,0.515422370389157,0.0333167609984326,0.516658380499216
70MB,742,0.521563342318059,-24.2743396226415,31.8767115902965,-0.372218881290853,0.488792449632876,37.7984306424175,0.339973041643315,-0.548697272287802,0.225651363856099
72FI,743,0.480484522207268,5.21726783310902,11.4982099596231,0.349388457759872,0.770008742755681,15.7451525536193,0.587819330370584,-0.236946893506362,0.381526553246819
73FW,741,0.430499325236167,2.15205128205128,9.83291497975708,0.157566745054641,0.719936565025789,14.0170599594042,0.636307186557258,0.0167261947603282,0.508363097380164
74BT,740,0.686486486486486,-1.32452702702703,12.4503378378378,-0.0502419445782886,0.472266077524784,16.3500606701908,0.493001107772614,-0.137942884916267,0.431028557541866
80KT,744,0.424731182795699,22.4302688172043,23.6986021505376,1.01452471852734,1.07189164214673,28.0977590800865,0.498897518512103,-0.983757217454508,0.00812139127274603
