Source,Type,Target,Relation,Value
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,West Winch,,East
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,West Winch,,E13
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,West Winch,,5.0
West Winch,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/SADDLEBOWTOKINGSLYNNPS35Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Whitwell,Instance,LocalDistribution,,
Whitwell,Instance,EA,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Whitwell,,52.60032753#-0.558308459
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Whitwell,,East
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Whitwell,,E08
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Whitwell,,8.0
Whitwell,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/TIXOVERTOBLABY0Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Yelverton,Instance,LocalDistribution,,
Yelverton,Instance,EA,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Yelverton,,52.58354577#1.380698437
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Yelverton,,East
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Yelverton,,E09
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Yelverton,,9.0
Yelverton,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/BACTONTOYELVERTON406Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Alrewas,Instance,LocalDistribution,,
Alrewas,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Alrewas,,52.74021612#-1.775106267
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Alrewas,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Alrewas,,E12
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Alrewas,,4.0
Alrewas,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/AUDLEYTOALREWASTWO0Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Blaby,Instance,LocalDistribution,,
Blaby,Instance,EM,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Blaby,,52.54598408#-1.17728498
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Blaby,,Central
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Blaby,,E05
