Terms,CaseGroup1_Case1_subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSANGLE_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSKVVOLT_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMW_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMVR_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSANGLE_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSKVVOLT_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMW_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMVR_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus95_Petrofac_PWBUSANGLE_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus95_Petrofac_PWBUSKVVOLT_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus95_Petrofac_LineMW_1,CaseGroup1_Case1_subtype_CaseGroup1_Bus95_Petrofac_LineMVR_1
Constant,-56.215374750813638,17.868224534390215,194.0293840452901,70.839189643064174,-56.47914569548638,17.863295834041153,145.30188504422972,33.596560376733734,-56.481408300910857,17.863254170780301,3.9143846974587833,0.9246420592900475
x_0,-0.0078833567737343277,0.0079195298789226064,0.074213901099180218,0.19221304947394319,-0.0077942597077795134,0.0079426000925855965,0.0062091880399294946,0.039844334444331046,-0.0077934921843991478,0.0079427959584853318,0.00015567644311944347,0.0010371185669264724
x_1,0.01664582486255391,-0.015393187626896966,-0.14653073201205255,-0.37948981943614057,0.016477125432530128,-0.015438661105100199,-0.012260388378656693,-0.078676229284900812,0.016475671515652688,-0.015439046982166593,-0.0003075710604218693,-0.0020480807055862269
x_2,0.0048174510130699483,-0.0043423458699960883,-0.041568899272024395,-0.10768091279744788,0.0047704091147182867,-0.004355246824244435,-0.0034852631191582134,-0.022341352913387829,0.0047700035585268585,-0.0043553563762644323,-8.7609601041644183e-005,-0.00058168570002988277
x_3,0.0043597083716856444,-0.004759985990816137,-0.043931858934844387,-0.11374535140279091,0.0043046986989913154,-0.0047736494010412953,-0.0036645531902577133,-0.023553485097152049,0.0043042244373989354,-0.0047737654755087532,-9.1833266542637286e-005,-0.00061286600287321241
x_4,0.017163872806617818,-0.015765898417885473,-0.15020779916576887,-0.38890860344607309,0.016991025520828047,-0.015812474670237182,-0.012542540257453771,-0.080575087498918563,0.016989535848001596,-0.015812869658532725,-0.00031417283802074019,-0.0020972211803098632
x_5,-0.0041918514670633983,0.0037625943493307841,0.036058592354187846,0.093444470475648495,-0.0041512598620924712,0.0037737978090426859,0.0030309236247103022,0.019403326317157486,-0.0041509104790169032,0.0037738930123579935,7.6395554484111339e-005,0.00050549044524329377
x_0 *x_0,0.010741297134643446,-0.012488375263863372,-0.11418040247641414,-0.29584312627271281,0.010595464413972522,-0.012523993841219827,-0.0095724323138739464,-0.061360220814159483,0.010594208820355888,-0.012524296113334721,-0.00024067794681503774,-0.0015974754864952478
x_0 *x_1,0.02099338624317669,-0.019004925949615652,-0.18159173204558321,-0.47013482729760792,0.020786001295539175,-0.019061204814914898,-0.015157981962867939,-0.097397237530365624,0.020784213536048063,-0.019061682886928846,-0.00037945335287130691,-0.0025350810182009974
x_0 *x_2,0.0059542719005200029,-0.0050313541751050433,-0.048760900746952496,-0.1262294356883637,0.0059007053704314139,-0.0050464413987357237,-0.0040701969378652558,-0.026153620039293446,0.0059002438977008853,-0.0050465697710512375,-0.00010226118313464219,-0.00068101255103472039
x_0 *x_3,0.0059426524984645662,-0.0056157600536517784,-0.053276670415092306,-0.13806014467171943,0.0058809834951356983,-0.0056323279951364311,-0.0044761308621275621,-0.028662702454246569,0.0058804530132021398,-0.0056324689927993461,-0.00011283543475341354,-0.0007467928160300399
x_0 *x_4,0.019256631292914717,-0.019872225346227804,-0.18535790351486947,-0.48007915585235339,0.019031406605835521,-0.019929869101725242,-0.01551007242759872,-0.099521809567322983,0.019029465903838694,-0.019930358141150156,-0.00038872281963991603,-0.0025905944601365954
x_0 *x_5,-0.0056065760742350368,0.0040510078321219639,0.040568940219499527,0.10485237212974144,-0.0055655679121513479,0.0040634644107701984,0.0033491075048754926,0.021651554682291463,-0.0055652124586149099,0.0040635700918183054,8.2148181006654747e-005,0.00056310914267648912
x_1 *x_1,-0.023242647983368059,0.022800709233244731,0.21459808602958219,0.5557599938753981,-0.022987850970647372,0.022867373454719786,0.017945789394595124,0.11519366248522633,-0.022985656349247208,0.022867939156289374,0.00045034185039971586,0.0029986844555194847
x_1 *x_2,-0.011207709136621724,0.010593288466053827,0.1003809840283747,0.25991420458864212,-0.011090534407890484,0.010624434395355098,0.0083833891438850339,0.053853789285913584,-0.011089524563263453,0.010624698630046822,0.00020979670103640768,0.0014018752810651715
x_1 *x_3,-0.011259878662919838,0.010947056372378272,0.10321675615744512,0.26733873893624066,-0.011137992312974437,0.010979125478541412,0.0086369651687970006,0.055426098409818408,-0.011136941128751791,0.010979397670003353,0.00021580984002758999,0.0014427019889190289
x_1 *x_4,-0.039719723335193108,0.0391105050125993,0.36782219856690179,0.95255695389226336,-0.039282052924616756,0.039224772145868468,0.03075382119954484,0.1974234364106966,-0.039278281450614794,0.039225741234096653,0.00077111550882933214,0.0051390165920642446
x_1 *x_5,0.0093063722256262471,-0.0095179444316625672,-0.088847881197146039,-0.2300397769613135,0.0091983555703380182,-0.0095455497408371004,-0.0074133403043608048,-0.047640770167320864,0.0091974249929961949,-0.0095457837712597804,-0.000185928527216472,-0.0012397047704595099
x_2 *x_2,0.020726420689827663,-0.020663019281214279,-0.19384342276121913,-0.50193360664839126,0.020494013791433119,-0.020723228815134664,-0.016189349490492333,-0.10398970600153934,0.020492010347146206,-0.02072373917304704,-0.0004056473660341009,-0.002706533153419538
x_2 *x_3,-0.002514051887208546,0.0030312674110994503,0.027538488596925426,0.071304070408538728,-0.0024781816228513498,0.0030398454713962547,0.0022979854403563649,0.014766396621017155,-0.0024778724318852974,0.003039918356937614,5.7251189828166557e-005,0.00038410793199821327
x_2 *x_4,-0.011256581926852555,0.01042345374079625,0.099233547936936117,0.25700398487297194,-0.011142439705567525,0.010454247066261024,0.0083071812123823863,0.053294891137467534,-0.011141455365046016,0.010454508627214386,0.00020805076517721455,0.0013874482062072482
