year,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2015,204.3919581,66.15519901,11.89706139,0.0,0.0,0.0,204.3919581,66.15519901,11.89706139
2016,195.5935999,63.37024927,11.41689557,13.54,7.23,1.05,209.13359989999998,70.60024927,12.46689557
2017,186.8592166,60.60978372,10.96053103,15.95,7.93,0.0,216.0107166,75.58903372,11.98428103
2018,178.3228552,57.92330897,10.51834763,5.1,3.38,0.2,211.8371052,75.90355897,11.715847629999999
2019,169.8368882,55.26944906,10.08977981,5.22,2.1,0.37,207.7063882,74.88619906,11.626029809999999
2020,161.20711630000002,52.52723637,9.659721049,9.77,0.23,15.89,207.85136630000002,71.85798636999999,27.045471049
2021,152.7344864,49.82847411,9.356857307,5.01,2.13,0.0,203.1492364,70.76747411,26.304857307
2022,144.389351,47.22287195,8.913643779,10.99,1.25,0.0,204.429351,68.83687194999999,25.423893778999997
2023,136.26824580000002,44.64303446,8.498078142999999,16.15,4.7,0.0,210.81874580000002,70.35078446,24.570578143
2024,128.5898368,42.130437,8.061975428,2.75,3.06,0.28,203.8470868,70.174437,23.976725428
2025,120.9959186,39.64176647,7.6548470910000015,2.11,2.66,0.01,196.2511686,69.54551647,23.134847091
2026,113.3544992,37.24224107,7.288942497000001,6.16,2.96,0.0,192.6049992,69.23924106999999,22.323942497000004
2027,105.92728259999998,34.88328067,6.847864907999999,3.72,2.85,0.0,186.57903259999998,68.78953067,21.437864907999998
2028,98.66471575,32.53364215,6.428814694,5.91,4.15,0.0,182.81471574999998,69.57789215,20.573814694
2029,91.81577583,32.05827289,6.821337251,8.44,3.75,0.0,181.84627583000002,71.73677289,20.521337251
2030,84.59693931,29.72347186,6.225663718,8.02,6.73,0.0,179.87693931,74.92247186000002,19.480663718
2031,77.64964339,27.45318593,5.8338591,15.96,4.86,0.17,185.91864339,76.13443593000001,18.813859100000002
2032,70.91982774,25.24707483,5.409117737000001,8.61,4.48,0.18,184.42882774,76.90907483000001,18.119867737
2033,64.45853244,23.04202515,4.95412115,24.16,8.7,1.5,198.54228244,81.79277515000001,18.71112115
2034,58.54409785,20.89841203,4.576516462,11.94,10.06,0.74,200.37859785,87.88041203,18.582266462
2035,53.08641925,18.88824967,4.131544366,12.18,7.3,0.0,202.61316925000003,91.08999967,17.627544366000002
2036,47.77340074,16.91964045,3.796938007,12.14,9.19,0.0,204.64790073999995,96.04864045,16.783188007000003
2037,42.82374211,15.1231566,3.3654190280000003,10.31,6.16,0.0,204.91249210999996,97.9196566,15.841919028
2038,38.19071378,13.48802253,3.054621843,8.58,5.89,0.25,203.50596378000003,99.52802253,15.271371843000002
2039,33.70358343,11.83649147,2.757271119,6.61,8.0,0.51,200.06083343000003,103.08274147,14.968021119000001
2040,29.19872241,10.29386596,2.531096735,11.49,7.6,0.3,201.31272241000002,106.14636596,14.513096735
2041,25.05544913,8.859375685,2.306434017,7.81,6.72,0.0,198.95894912999998,108.24812568499999,13.752184016999998
2042,21.0273502,7.606507996,1.989249798,16.19,6.28,0.25,204.90510020000002,109.92350799600001,13.148749797999999
2043,17.31649685,6.453322718,1.726791865,13.15,7.31,0.0,207.72374685,112.57157271800001,12.343791864999996
2044,13.82386673,5.335711275,1.51961337,16.36,10.11,0.05,213.64186672999998,117.87246127499998,11.644113370000001
2045,10.75517743,4.409146249,1.287047158,22.7,7.31,0.44,225.91492743,120.311646249,11.307797158
2046,8.332958251,3.482335332,1.040111726,12.06,10.43,0.45,227.62695825100002,125.687835332,10.956111725999998
2047,6.12365605,2.828535742,0.904314749,16.03,7.06,0.51,233.22040604999998,127.706285742,10.764314748999999
2048,3.954566392,2.220854597,0.7885878279999999,21.82,9.08,1.17,244.243316392,131.614354597,11.239837827999999
2049,2.406744487,1.731500656,0.68982144,11.64,5.62,0.0,245.161994487,131.95375065599998,10.53307144
2050,1.2328823759999998,1.207265414,0.52606047,20.65,7.58,0.33,255.173632376,134.07776541400003,10.09131047
