Year      Month     Day      Hour      X(m)      Y(m)      Z(m)      O3        NO        NO2       H2O2      N2O5      HNO3      HONO      SO2       Sulphate  CO        C2H6      HCHO      CH3CHO    C2H4      PAN       nC4H10    CH3COC2H5 C3H6      oXylene   isoprene  PM2.5     PM10      
2020  5  6 12  366628.312  137794.703      10.000   0.2745786E+00   0.1996668E+03   0.1022054E+02   0.2930356E-05   0.5935653E-07   0.2508731E-03   0.3084888E-01   0.9451532E+01   0.2241110E-04   0.1540239E+02   0.1644998E+01   0.1327710E+01   0.1435157E+01   0.2869906E+01   0.1200651E-05   0.2065294E+02   0.8754012E-01   0.4550129E+01   0.1085230E+02   0.0000000E+00   0.8566131E-02   0.8861256E-02
2020  5  6 12  366628.312  139794.703      10.000   0.3013430E+00   0.1743093E+03   0.8842537E+01   0.5645296E-05   0.6020161E-07   0.6328333E-03   0.5220606E-01   0.8249196E+01   0.5563763E-04   0.1344637E+02   0.1435798E+01   0.1156732E+01   0.1252787E+01   0.2504880E+01   0.2970697E-05   0.1802567E+02   0.7646824E-01   0.3971030E+01   0.9471215E+01   0.0000000E+00   0.7559083E-02   0.7769933E-02
2020  5  6 12  366628.312  141794.703      10.000   0.2880166E+00   0.8161276E+02   0.4001614E+01   0.5311601E-05   0.2740110E-07   0.7444242E-03   0.3584564E-01   0.3867320E+01   0.6634411E-04   0.6289943E+01   0.6715485E+00   0.5391554E+00   0.5869487E+00   0.1171206E+01   0.3131378E-05   0.8448441E+01   0.3594062E-01   0.1859065E+01   0.4444497E+01   0.0000000E+00   0.3849665E-02   0.3931051E-02
2020  5  6 12  366628.312  143794.703      10.000   0.2601108E+00   0.3390964E+02   0.1514329E+01   0.3724106E-05   0.8679612E-08   0.6252784E-03   0.2110695E-01   0.1606160E+01   0.5869995E-04   0.2607398E+01   0.2782782E+00   0.2222612E+00   0.2437340E+00   0.4851542E+00   0.2337050E-05   0.3507852E+01   0.1499961E-01   0.7709109E+00   0.1847431E+01   0.0000000E+00   0.1734826E-02   0.1754426E-02
2020  5  6 12  366628.312  145794.703      10.000   0.1873976E+00   0.1002571E+02   0.3453719E+00   0.1331903E-05   0.1114852E-08   0.2659786E-03   0.7504217E-02   0.4722648E+00   0.2955007E-04   0.7665074E+00   0.8175883E-01   0.6494920E-01   0.7172521E-01   0.1425077E+00   0.8688685E-06   0.1031310E+01   0.4438346E-02   0.2264683E+00   0.5432802E+00   0.0000000E+00   0.5264194E-03   0.5277254E-03
2020  5  6 12  366628.312  147794.703      10.000   0.6755102E-01   0.1429957E+01   0.1965898E-01   0.1124780E-06   0.9073003E-11   0.2895601E-04   0.9337312E-03   0.6622887E-01   0.5638259E-05   0.1077632E+00   0.1148702E-01   0.9091940E-02   0.1007455E-01   0.2002415E-01   0.7683508E-07   0.1446531E+00   0.6251188E-03   0.3177689E-01   0.7611024E-01   0.0000000E+00   0.6827482E-04   0.6858036E-04
2020  5  6 12  366628.312  149794.703      10.000   0.9958577E-02   0.1439693E+00   0.4234016E-03   0.2887557E-08   0.1175754E-13   0.1461593E-05   0.9670028E-04   0.6609873E-02   0.6279111E-06   0.1076803E-01   0.1147489E-02   0.9048425E-03   0.1004537E-02   0.2000383E-02   0.2929637E-08   0.1443812E-01   0.6212131E-04   0.3172263E-02   0.7592150E-02   0.0000000E+00   0.6587627E-05   0.6537357E-05
2020  5  6 12  368628.312  131794.703      10.000   0.1241763E-10   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
2020  5  6 12  368628.312  133794.703      10.000   0.1571456E+00   0.1168843E+02   0.4228661E+00   0.1742924E-06   0.4617710E-09   0.5801153E-04   0.2483321E-02   0.5483190E+00   0.7319368E-05   0.8936608E+00   0.9541606E-01   0.7681869E-01   0.8329968E-01   0.1664511E+00   0.2121292E-06   0.1198118E+01   0.5094199E-02   0.2638840E+00   0.6295633E+00   0.0000000E+00   0.5042277E-03   0.5184178E-03
2020  5  6 12  368628.312  135794.703      10.000   0.2974743E+00   0.2176223E+03   0.1110762E+02   0.5629817E-05   0.6883512E-07   0.6863631E-03   0.4948495E-01   0.1030153E+02   0.6225115E-04   0.1678927E+02   0.1792884E+01   0.1445374E+01   0.1564438E+01   0.3127832E+01   0.2918176E-05   0.2251015E+02   0.9549299E-01   0.4958876E+01   0.1182805E+02   0.0000000E+00   0.9422527E-02   0.9713013E-02
