2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0	3	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0	3	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
2.0	66.8	0.0	3.0	0.002	2.103	395.95
