8,1,bus
40,2,bus
104,3,bus
53,4,bus
47,5,bus
202,6,bus
183,7,bus
158,8,bus
101,9,bus
48,10,bus
118,11,bus
11,12,bus
116,13,bus
184,14,bus
122,15,bus
42,16,bus
36,17,bus
76,18,bus
114,19,bus
20,20,bus
172,21,bus
89,22,bus
168,23,bus
1,24,bus
64,25,bus
57,26,bus
112,27,bus
128,28,bus
155,29,bus
4,30,bus
201,31,bus
160,32,bus
188,33,bus
51,34,bus
30,35,bus
181,36,bus
102,37,bus
182,38,bus
99,39,bus
73,40,bus
44,41,bus
74,42,bus
65,43,bus
169,44,bus
207,45,bus
14,46,bus
110,47,bus
208,48,bus
206,49,bus
161,50,bus
204,51,bus
192,52,bus
106,53,bus
81,54,bus
175,55,bus
54,56,bus
56,57,bus
24,58,bus
197,59,bus
37,60,bus
115,61,bus
165,62,bus
71,63,bus
171,64,bus
108,65,bus
10,66,bus
95,67,bus
63,68,bus
142,69,bus
189,70,bus
198,71,bus
136,72,bus
85,73,bus
187,74,bus
123,75,bus
91,76,bus
83,77,bus
149,78,bus
28,79,bus
126,80,bus
145,81,bus
170,82,bus
132,83,bus
18,84,bus
67,85,bus
75,86,bus
173,87,bus
147,88,bus
43,89,bus
159,90,bus
195,91,bus
5,92,bus
178,93,bus
111,94,bus
141,95,bus
97,96,bus
103,97,bus
124,98,bus
135,99,bus
191,100,bus
31,101,bus
27,102,bus
129,103,bus
193,104,bus
185,105,bus
163,106,bus
131,107,bus
119,108,bus
21,109,bus
125,110,bus
144,111,bus
179,112,bus
23,113,bus
100,114,bus
19,115,bus
17,116,bus
72,117,bus
113,118,bus
39,119,bus
117,120,bus
140,121,bus
166,122,bus
45,123,bus
7,124,bus
146,125,bus
58,126,bus
62,127,bus
190,128,bus
143,129,bus
60,130,bus
167,131,bus
52,132,bus
127,133,bus
180,134,bus
176,135,bus
61,136,bus
46,137,bus
77,138,bus
25,139,bus
151,140,bus
68,141,bus
177,142,bus
41,143,bus
92,144,bus
196,145,bus
109,146,bus
70,147,bus
199,148,bus
13,149,bus
138,150,bus
9,151,bus
130,152,bus
34,153,bus
33,154,bus
137,155,bus
82,156,bus
26,157,bus
78,158,bus
87,159,bus
35,160,bus
107,161,bus
86,162,bus
3,163,bus
133,164,bus
29,165,bus
157,166,bus
55,167,bus
12,168,bus
153,169,bus
80,170,bus
6,171,bus
98,172,bus
121,173,bus
134,174,bus
139,175,bus
32,176,bus
15,177,bus
88,178,bus
194,179,bus
94,180,bus
205,181,bus
164,182,bus
69,183,bus
162,184,bus
79,185,bus
186,186,bus
200,187,bus
156,188,bus
2,189,bus
66,190,bus
90,191,bus
105,192,bus
154,193,bus
59,194,bus
84,195,bus
203,196,bus
22,197,bus
150,198,bus
16,199,bus
152,200,bus
148,201,bus
50,202,bus
120,203,bus
49,204,bus
38,205,bus
93,206,bus
96,207,bus
174,208,bus
