,0,1,2,3,4
103,553216.831,211669.5677,568938.2270000001,176321.0962,MATCHING GREEN TO TILBURY
104,372102.5,388481.625,376257.0,351254.75,WARBURTON TO AUDLEY
105,517396.5,221794.0,515127.2174,304634.3112,PETERBOROUGH TO WHITWELL
106,548724.875,386800.25,548370.25,386523.625,THEDDLETHORPE
107,455875.625,294549.375,415320.3412,315831.37120000104,BLABY TO ALREWAS
108,292351.2459,86462.3390999995,258911.5749,54657.4838999994,KENN SOUTH TO CHOAKFORD
109,376921.25,805194.25,361712.0791,748141.5448,ABERDEEN TO ARBROATH
110,444552.4792,142793.7663,430236.3076,125148.687100001,BARTON STACEY TO LOCKERLEY
111,433663.9755,493743.36260000104,445792.6231,441004.532400001,YAFFORTH TO TOWTON
112,586157.9529,175498.303400001,586923.3429,174756.283,ISLE OF GRAIN TO MEDWAY
113,321177.875,657486.875,358243.75,644724.875,PENICUIK TO BOON
114,372584.8738,362220.199100001,345224.8298,369958.046800001,ELWORTH TO MICKLE TRAFFORD
115,450853.55299999996,280469.9626,415223.8427,315799.6054,ALREWAS TO CHURCHOVER
116,548755.1073,386800.240700001,517251.0365,376231.25159999897,THEDDLETHORPE TO HATTON
117,540200.1170000001,419661.036900001,517958.8327,425205.2228,EASINGTON TO PAULL
118,354499.222,223973.456,321705.868,214955.63000000102,TREADDOW TO GILWERN
119,566003.3956,208424.0011,542907.827,192776.9548,ROXWELL TO LUXBOROUGH LANE
120,408218.625,611254.75,417058.023,578909.2586,THRUNTON TO SALTWICK
121,358229.125,644692.25,386661.6188,640161.7884,BOON TO COLDSTREAM
122,291064.155,670843.791099999,340483.54799999995,572675.7210000011,BATHGATE TO LONGTOWN
123,405160.7952,236754.99,395093.948,202892.10199999998,WORMINGTON TO SAPPERTON
124,524111.1009,305600.04429999896,524164.3287,303614.9077,PETERBOROUGH TEE TO EYE
125,450921.5,280457.375,405165.75,236822.75,CHURCHOVER TO WORMINGTON DUPLICATE
126,629083.25,303805.125,602479.5,260925.125,YELVERTON TO STOWMARKET
127,483671.5515,402762.4564,517215.1462,376268.8255,SUSWORTH TRENT EAST TO HATTON
128,395063.125,202883.375,402454.0,199987.25,SAPPERTON TO CIRENCESTER
129,553274.25,211692.0,538850.2241,209169.60469999898,MATCHING GREEN TO RYE HOUSE
130,386618.2898,640164.3783,408236.1542,611288.1886,COLDSTREAM TO THRUNTON
131,425306.2444,450596.3302,351871.5419,467390.382999999,PANNAL TO NETHER KELLET
