Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
hasAllowedGPR,Object Property,,,BuildableSpace,GrossPlotRatio,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasAllowedSiteCoverage,Object Property,,,BuildableSpace,SiteCoverage,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasAllowedStoreyAggregate,Object Property,,,BuildableSpace,StoreyAggregate,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasArea,Object Property,,,,,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasFootprintArea,Object Property,hasArea,IS-A,Footprint,FootprintArea,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasBuildableSpace,Object Property,,,https://www.theworldavatar.com/kg/ontozoning/Plot,BuildableSpace,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasDepth,Object Property,,,https://www.theworldavatar.com/kg/ontozoning/Plot,AverageDepth,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasNeighbour ,Object Property,,,https://www.theworldavatar.com/kg/ontozoning/Plot,https://www.theworldavatar.com/kg/ontozoning/Plot,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasRequiredPartyWall,Object Property,,,BuildableSpace,PartyWall,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasRequiredSetback,Object Property,,,BuildableSpace,Setback,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasSiteArea,Object Property,,,https://www.theworldavatar.com/kg/ontozoning/Plot,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasSource,Object Property,,,AbsoluteHeight UNION FloorToFloorHeight UNION GrossFloorArea UNION GrossPlotRatio UNION Setback UNION SiteCoverage UNION StoreyAggregate,https://www.theworldavatar.com/kg/ontoplanningregulations/URARegulation,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasWidth,Object Property,,,https://www.theworldavatar.com/kg/ontozoning/Plot,AverageWidth,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
atLevel,Data Property,,,Storey,integer,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
atLevelOfDetail,Data Property,,,BuildableSpace,String,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
atResidentialFringe,Data Property,,,https://www.theworldavatar.com/kg/ontozoning/Plot,boolean,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasNumOfStoreys,Data Property,,,StoreyAggregate,integer,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
hasRoadType,Data Property,,,https://www.theworldavatar.com/kg/ontozoning/Plot,String,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
isCornerPlot,Data Property,,,https://www.theworldavatar.com/kg/ontozoning/Plot,boolean,,,https://www.theworldavatar.com/kg/ontobuildablespace/,
