Match Result For, DUKES Station Name: Altahullion Extension, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Altaveedan, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Alveston, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: An Suidhe, EIC: 48WSTN0000ANSUWY, Name Match: First Words of EIC and DUKES Match (if unique) (-3), Capacity Difference (if known, and at the error threshold if unknown) (%): 2, Start Year: Startup Differences (1), Generation Type: Same Generation Type Match (-5), Match: Matched (1). 
Match Result For, DUKES Station Name: Andershaw, EIC: 48WSTN0000ASHWWA, Name Match: First EIC Word Matches Whole DUKES Name (-4), Capacity Difference (if known, and at the error threshold if unknown) (%): 0, Start Year: Unclear (0), Generation Type: Same Generation Type Match (-5), Match: Matched (1). 
Match Result For, DUKES Station Name: Anglesey , EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: AOE, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Apse New Barn, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ardley EfW, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ardrossan, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Arecleoch, EIC: 48WSTN0000ARCHW6, Name Match: First EIC Word Matches Whole DUKES Name (-4), Capacity Difference (if known, and at the error threshold if unknown) (%): 0, Start Year: Same Year (-5), Generation Type: Ambiguous Generation Type (-2), Match: Matched (1). 
Match Result For, DUKES Station Name: Arna Wood, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Arnish, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Arnish Moor, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Artfield Fell, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ash Row Farm, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ashby, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ashton, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Askern, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Assel Valley, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Astley, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Aston House, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Auchrobert, EIC: 48WSTN0000ABRTWR, Name Match: First EIC Word Matches Whole DUKES Name (-4), Capacity Difference (if known, and at the error threshold if unknown) (%): 0, Start Year: Unclear (0), Generation Type: Same Generation Type Match (-5), Match: Matched (1). 
Match Result For, DUKES Station Name: Auchtertyre, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Avenue Farm, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Averill Farm, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Awe Barrage - A, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Bad a Cheo, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Baglan Bay, EIC: 48WSTN00000BAGE8, Name Match: Exact Match (-10), Capacity Difference (if known, and at the error threshold if unknown) (%): 6, Start Year: Same Year (-5), Generation Type: Ambiguous Generation Type (-2), Match: Matched (1). 
Match Result For, DUKES Station Name: Baglan Bay GT, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Bagmoor, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Baillie, EIC: 48WSTN1000BABAWQ, Name Match: First EIC Word Matches Whole DUKES Name (-4), Capacity Difference (if known, and at the error threshold if unknown) (%): 1, Start Year: Within a Year (-1), Generation Type: Ambiguous Generation Type (-2), Match: Matched (1). 
Match Result For, DUKES Station Name: Bake Farm, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Balcombe, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ballylumford B GT1 & GT2, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ballylumford C, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ballymena, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Bambers, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Bann Road, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barkantine Heat & Power *, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barkip, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barlborough, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barlockhart Moor, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barmoor, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barn Farm, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barra, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barrow, EIC: 48WSTN0000BOWLWY, Name Match: First EIC Word Matches Whole DUKES Name (-4), Capacity Difference (if known, and at the error threshold if unknown) (%): 0, Start Year: Startup Differences (1), Generation Type: Ambiguous Generation Type (-2), Match: Matched (1). 
Match Result For, DUKES Station Name: Barton, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Barton Close, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Batsworthy Cross, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
