Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
Storage,Class,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#GridComponent,IS-A,,,,Storage of Gas within a Gas Grid,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
Intake,Class,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#GridComponent,IS-A,,,,Intake of gas into a gas grid,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
Offtake,Class,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#GridComponent,IS-A,,,,Offtake of gas off of a gas grid,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
Compression Station,Class,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_system.owl#GridComponent,IS-A,,,,Compression station in a gas grid,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
LiquefiedNaturalGasStorage,Class,Storage,IS-A,,,,Liquefied Natural Gas Storage within a gas grid.,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
HighPressureStorage,Class,Storage,IS-A,,,,High pressure gas storage within a gas grid.,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
CavernStorage,Class,Storage,IS-A,,,,Cavernous storage of any type within a gas grid.,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
GasTerminal,Class,Intake,IS-A,,,,"Indicates an intake that collates a single or multiple sources of gas, for distribution into a gas grid.",http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
ContinentalPipeline,Class,Intake,IS-A,,,,Pipeline between continents for example the UK and Europe,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
LiquefiedNaturalGasImport,Class,Intake,IS-A,,,,An LNG import from elsewhere,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
LocalDistribution,Class,Offtake,IS-A,,,,"Offtake to local distribution for use in district heating within and buildings, i.e. the low-pressure gas network",http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
IndustrialUser,Class,Offtake,IS-A,,,,Industrial User of gas,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
PowerStation,Class,Offtake,IS-A,,,,Power station user of gas,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
Export,Class,Offtake,IS-A,,,,Gas export to another country,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
Gas,Class,,,,,,Gas to be used within the gas grid.,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
OfftakenGas,Class,Gas,IS-A,,,,Gas offtaken by a grid offtake,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl
