confidence,ssp,quantile,projectionyear
medium,ssp585,95,2150
medium,ssp585,95,2100
medium,ssp585,95,2050
medium,ssp370,95,2150
medium,ssp370,95,2100
medium,ssp370,95,2050
medium,ssp245,95,2150
medium,ssp245,95,2100
medium,ssp245,95,2050
medium,ssp126,95,2150
medium,ssp126,95,2100
medium,ssp126,95,2050
medium,ssp119,95,2150
medium,ssp119,95,2100
medium,ssp119,95,2050
