month,ukhpi_value
2002-01,50.21
2001-12,48.65
2001-11,46.56
2001-10,47.12
2001-09,46.37
2001-08,45.05
2001-07,44.12
2001-06,42.35
2001-05,41.56
2001-04,39.58
2001-03,40.98
2001-02,41.01
2001-01,41.21
2000-12,41.00
2000-11,41.55
2000-10,41.03
2000-09,39.75
2000-08,38.98
2000-07,39.29
2000-06,38.73
2000-05,36.98
2000-04,36.12
2000-03,35.06
2000-02,35.32
2000-01,35.30
1999-12,35.66
1999-11,36.08
1999-10,35.68
1999-09,35.89
1999-08,34.74
1999-07,34.26
1999-06,32.85
1999-05,32.15
1999-04,31.70
1999-03,31.35
1999-02,31.48
1999-01,30.60
1998-12,30.94
1998-11,30.67
1998-10,31.22
1998-09,31.23
1998-08,31.44
1998-07,31.35
1998-06,30.94
1998-05,30.29
1998-04,29.21
1998-03,29.44
1998-02,29.86
1998-01,30.14
1997-12,29.58
1997-11,29.18
1997-10,28.59
1997-09,28.06
1997-08,27.66
1997-07,28.31
1997-06,28.27
1997-05,28.37
1997-04,28.95
1997-03,28.45
1997-02,27.71
1997-01,26.32
1996-12,26.39
1996-11,26.98
1996-10,26.78
1996-09,26.96
1996-08,26.34
1996-07,26.03
1996-06,25.30
1996-05,24.60
1996-04,24.36
1996-03,24.19
1996-02,24.92
1996-01,25.16
1995-12,25.22
1995-11,24.50
1995-10,24.59
1995-09,24.75
1995-08,25.17
1995-07,25.44
1995-06,25.96
1995-05,26.29
1995-04,26.45
1995-03,26.18
1995-02,26.07
1995-01,25.56
