primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
anthracite,subcritical,63,900,576.7,45.14,3791802.5,10,0.75,15,34.16,8.543703704,42.7037037,490.195,3223032.125,33.8184,7.262148148,41.08054815
anthracite,subcritical,63,1000,640.8,44.36,4213260,10,0.75,15,33.57,8.544,42.114,544.68,3581271,33.2343,7.2624,40.4967
anthracite,subcritical,63,1100,704.8,43.68,4634060,10,0.75,15,33.06,8.543030303,41.6030303,599.08,3938951,32.7294,7.261575758,39.99097576
anthracite,subcritical,63,1200,768.9,43.08,5055517.5,10,0.75,15,32.6,8.543333333,41.14333333,653.565,4297189.875,32.274,7.261833333,39.53583333
anthracite,subcritical,63,1300,833,42.54,5476975,10,0.75,15,32.2,8.543589744,40.74358974,708.05,4655428.75,31.878,7.262051282,39.14005128
anthracite,subcritical,63,1400,897,42.11,5897775,10,0.75,15,31.87,8.542857143,40.41285714,762.45,5013108.75,31.5513,7.261428571,38.81272857
anthracite,subcritical,63,1500,961.1,41.8,6319232.5,10,0.75,15,31.64,8.543111111,40.18311111,816.935,5371347.625,31.3236,7.261644444,38.58524444
anthracite,subcritical,63,1600,1025,41.53,6739375,10,0.75,15,31.43,8.541666667,39.97166667,871.25,5728468.75,31.1157,7.260416667,38.37611667
anthracite,subcritical,63,1700,1089,41.29,7160175,10,0.75,15,31.25,8.541176471,39.79117647,925.65,6086148.75,30.9375,7.26,38.1975
anthracite,subcritical,63,1800,1153,41.07,7580975,10,0.75,15,31.08,8.540740741,39.62074074,980.05,6443828.75,30.7692,7.25962963,38.02882963
anthracite,subcritical,63,1900,1217,40.87,8001775,10,0.75,15,30.93,8.540350877,39.47035088,1034.45,6801508.75,30.6207,7.259298246,37.87999825
anthracite,subcritical,63,2000,1281,40.69,8422575,10,0.75,15,30.8,8.54,39.34,1088.85,7159188.75,30.492,7.259,37.751
anthracite,subcritical,63,2100,1346,40.53,8849950,10,0.75,15,30.67,8.546031746,39.21603175,1144.1,7522457.5,30.3633,7.264126984,37.62742698
