FromBus,ToBus,BranchNodeIRI
17,16,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_5fca661e-dca0-464c-969e-411686c95a7a
17,16,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_80647185-762c-4db5-9662-349fbf2e8850
17,22,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_d5970baf-8fab-45fc-a484-1f506ec3ce59
17,22,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_b667c4aa-9a2c-4ba5-a4af-96637429c52e
18,17,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_fc0bf1a3-6b9a-4ff3-8bc2-f7938baffea9
18,17,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_40018f0c-debb-468a-afaa-a62cce0cff99
18,23,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_082d6f70-fb37-462e-9a56-dbbc387bd04c
18,23,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_b6233737-c573-41df-ab02-bb78db3ff15c
20,26,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_465a10f9-d363-4420-bbaa-582b89f8b210
20,26,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_617c96f5-a58c-4a8e-a445-83b289abe10e
20,19,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_122b587b-5b92-4475-ba00-3b2106301f6c
20,19,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_b84f057c-88bc-4656-b084-b2ea3770581e
21,16,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_543f57ae-904d-490d-929c-ae3c29f118ca
21,16,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_13e12f2a-c1c8-4522-9f6f-c64b98ab7514
21,25,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_7998335d-3c3b-4c13-bf95-ce1c4533c1c7
21,25,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_f5298c71-9b39-4fa3-87c9-30a2da1ad8b0
21,20,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_e13612a8-776f-4aba-afb1-8a76b87bc561
21,20,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_6a86ad83-fc93-4536-bf30-1f0ab5144b92
21,19,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_d5617b28-c7fa-4219-acfb-96744509426e
21,19,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_c70e5f2f-1ba3-4b52-919e-d00dada63377
22,16,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_b9c1a6b9-f4e2-47cb-af23-245559e7e103
22,16,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_e7247bb6-93a7-4417-b26a-9cd3b0511a09
