Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
https://dbpedia.org/ontology/manufacturer,Object Property,,,LabEquipment,https://dbpedia.org/ontology/Organisation,only,The relation connects the product to its manufacturer or producer.,http://dbpedia.org/ontology/,
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl#refersToMaterial,Object Property,,,ChemicalAmount,https://www.theworldavatar.com/kg/ontoreaction/Chemical,only,The relation refersToMaterial indicates which material a material amount or a material amount connection refers to. [https://www.avt.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaatptsi],http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl,
isPreparedBy,Object Property,,,ChemicalAmount,PreparationMethod,only,The relation between the chemical amount and its preparation method.,https://www.theworldavatar.com/kg/ontolab/,
isFilledWith,Object Property,,,ChemicalContainer,ChemicalAmount,maximum 1,The relation between the chemical container and the chemical amount it contains.,https://www.theworldavatar.com/kg/ontolab/,
hasWarningLevel,Object Property,,,ChemicalContainer,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,exactly 1,The relation indicates the fill level of a chemical container below which a warning to researcher should be sent.,https://www.theworldavatar.com/kg/ontolab/,
hasFillLevel,Object Property,,,ChemicalContainer,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,exactly 1,The relation indicates the current filling level of a chemical container.,https://www.theworldavatar.com/kg/ontolab/,
hasMaxLevel,Object Property,,,ChemicalContainer,http://www.ontology-of-units-of-measure.org/resource/om-2/Volume,exactly 1,The relation indicates the maximum filling level of a chemical container.,https://www.theworldavatar.com/kg/ontolab/,
isSpecifiedBy,Object Property,,,LabEquipment,EquipmentSettings,only,The relation between the laboratory equipment and the equipment settings based on which the equipment is set.,https://www.theworldavatar.com/kg/ontolab/,
specifies,Object Property,isSpecifiedBy,INVERSE-OF,EquipmentSettings,LabEquipment,only,The relation between the equipment settings and the laboratory equipment it governs.,https://www.theworldavatar.com/kg/ontolab/,
wasGeneratedFor,Object Property,https://www.theworldavatar.com/kg/ontoreaction/hasEquipmentSettings,INVERSE-OF,EquipmentSettings,https://www.theworldavatar.com/kg/ontoreaction/ReactionExperiment,only,The relation between the equipment settings and the reaction experiment it was generated for.,https://www.theworldavatar.com/kg/ontolab/,
hasSetting,Object Property,,,EquipmentSettings,ParameterSetting,only,The relation between the equipment settings and its individual parameter setting.,https://www.theworldavatar.com/kg/ontolab/,
hasQuantity,Object Property,,,ParameterSetting,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,maximum 1,The relation between the parameter setting and the quantity it refers to following the units of measure practice.,https://www.theworldavatar.com/kg/ontolab/,
translatesToParameterSetting,Object Property,hasQuantity,INVERSE-OF,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,ParameterSetting,,The relation between the and the quantity which instantiated following the units of measure practice and the parameter setting that it translated to.,https://www.theworldavatar.com/kg/ontolab/,
stateLastUpdatedAt,Data Property,,,https://saref.etsi.org/core/State,decimal,exactly 1,The timestamp when the state of lab equipment was last updated at.,https://www.theworldavatar.com/kg/ontolab/,
containsUnidentifiedComponent,Data Property,,,ChemicalAmount,boolean,,The boolean flag to indicate if there are unidentified components in the collected chemical amount.,https://www.theworldavatar.com/kg/ontolab/,
