confidence,ssp_scenario,quantile,projectionreferenceyear,projectionyear,sealevelriseinmeters
medium,ssp126,95,2014,2130,1.224
medium,ssp126,95,2014,2140,1.335
medium,ssp126,95,2014,2150,1.443
medium,ssp245,5,2014,2020,0
medium,ssp245,5,2014,2030,0.032
medium,ssp245,5,2014,2040,0.064
medium,ssp245,5,2014,2050,0.102
medium,ssp245,5,2014,2060,0.139
medium,ssp245,5,2014,2070,0.181
medium,ssp245,5,2014,2080,0.217
medium,ssp245,5,2014,2090,0.255
medium,ssp245,5,2014,2100,0.304
medium,ssp245,5,2014,2110,0.326
medium,ssp245,5,2014,2120,0.362
medium,ssp245,5,2014,2130,0.396
medium,ssp245,5,2014,2140,0.43
medium,ssp245,5,2014,2150,0.463
medium,ssp245,17,2014,2020,0.021
medium,ssp245,17,2014,2030,0.056
medium,ssp245,17,2014,2040,0.093
medium,ssp245,17,2014,2050,0.14
medium,ssp245,17,2014,2060,0.185
medium,ssp245,17,2014,2070,0.237
medium,ssp245,17,2014,2080,0.285
medium,ssp245,17,2014,2090,0.338
medium,ssp245,17,2014,2100,0.398
medium,ssp245,17,2014,2110,0.427
medium,ssp245,17,2014,2120,0.476
medium,ssp245,17,2014,2130,0.523
medium,ssp245,17,2014,2140,0.569
medium,ssp245,17,2014,2150,0.615
medium,ssp245,50,2014,2020,0.05
medium,ssp245,50,2014,2030,0.092
medium,ssp245,50,2014,2040,0.14
medium,ssp245,50,2014,2050,0.203
medium,ssp245,50,2014,2060,0.262
medium,ssp245,50,2014,2070,0.334
medium,ssp245,50,2014,2080,0.407
medium,ssp245,50,2014,2090,0.482
medium,ssp245,50,2014,2100,0.568
medium,ssp245,50,2014,2110,0.646
medium,ssp245,50,2014,2120,0.724
medium,ssp245,50,2014,2130,0.8
medium,ssp245,50,2014,2140,0.876
medium,ssp245,50,2014,2150,0.95
medium,ssp245,83,2014,2020,0.081
medium,ssp245,83,2014,2030,0.134
medium,ssp245,83,2014,2040,0.198
medium,ssp245,83,2014,2050,0.285
medium,ssp245,83,2014,2060,0.368
medium,ssp245,83,2014,2070,0.473
medium,ssp245,83,2014,2080,0.58
medium,ssp245,83,2014,2090,0.693
medium,ssp245,83,2014,2100,0.815
medium,ssp245,83,2014,2110,0.95
medium,ssp245,83,2014,2120,1.071
medium,ssp245,83,2014,2130,1.189
medium,ssp245,83,2014,2140,1.308
medium,ssp245,83,2014,2150,1.424
medium,ssp245,95,2014,2020,0.104
medium,ssp245,95,2014,2030,0.167
medium,ssp245,95,2014,2040,0.247
medium,ssp245,95,2014,2050,0.354
medium,ssp245,95,2014,2060,0.46
medium,ssp245,95,2014,2070,0.587
medium,ssp245,95,2014,2080,0.721
